id,x,y,r,g,b
1129,2.5,-9.5,252,203,5
1130,3.5,-9.5,252,203,5
1131,4.5,-9.5,253,204,6
1132,5.5,-9.5,253,204,6
1133,6.5,-9.5,255,202,6
1134,7.5,-9.5,255,202,6
1135,8.5,-9.5,255,202,6
1136,9.5,-9.5,255,202,6
1137,10.5,-9.5,255,202,5
1138,11.5,-9.5,255,203,3
1139,12.5,-9.5,255,203,3
1140,13.5,-9.5,255,203,3
1141,14.5,-9.5,255,203,3
1142,15.5,-9.5,253,204,6
1143,16.5,-9.5,253,204,6
1144,17.5,-9.5,253,204,6
1145,18.5,-9.5,253,204,6
1146,19.5,-9.5,250,205,6
1147,20.5,-9.5,255,201,2
1148,21.5,-9.5,249,206,3
1149,22.5,-9.5,250,200,9
1150,23.5,-9.5,32,48,75
1151,-23.5,-10.5,33,32,82
1152,-22.5,-10.5,251,204,13
1153,-21.5,-10.5,249,203,19
1154,-20.5,-10.5,255,203,0
1155,-19.5,-10.5,255,202,5
1156,-18.5,-10.5,251,204,10
1157,-17.5,-10.5,228,30,20
1158,-16.5,-10.5,241,26,42
1159,-15.5,-10.5,237,27,36
1160,-14.5,-10.5,235,28,35
1161,-13.5,-10.5,235,28,34
1162,-12.5,-10.5,234,27,33
1163,-11.5,-10.5,220,38,20
1164,-10.5,-10.5,229,28,31
1165,-9.5,-10.5,239,26,42
1166,-8.5,-10.5,212,45,8
1167,-7.5,-10.5,250,150,44
1168,-6.5,-10.5,255,192,29
1169,-5.5,-10.5,255,196,20
1170,-4.5,-10.5,253,203,8
1171,-3.5,-10.5,247,208,0
1172,-2.5,-10.5,253,204,7
1173,-1.5,-10.5,253,203,10
1174,-0.5,-10.5,252,203,12
1175,0.5,-10.5,249,204,15
1176,1.5,-10.5,250,204,14
1177,2.5,-10.5,254,205,7
1178,3.5,-10.5,254,205,7
1179,4.5,-10.5,253,204,6
1180,5.5,-10.5,253,204,6
1181,6.5,-10.5,255,202,6
1182,7.5,-10.5,255,202,6
1183,8.5,-10.5,255,202,6
1184,9.5,-10.5,255,202,6
1185,10.5,-10.5,255,202,5
1186,11.5,-10.5,255,203,3
1187,12.5,-10.5,255,203,3
1188,13.5,-10.5,255,204,4
1189,14.5,-10.5,255,204,4
1190,15.5,-10.5,253,204,6
1191,16.5,-10.5,253,204,6
1192,17.5,-10.5,253,204,6
1193,18.5,-10.5,253,204,6
1194,19.5,-10.5,250,205,6
1195,20.5,-10.5,255,201,2
1196,21.5,-10.5,249,206,3
1197,22.5,-10.5,251,200,10
1198,23.5,-10.5,31,46,73
1199,-23.5,-11.5,32,33,80
1200,-22.5,-11.5,250,205,12
1201,-21.5,-11.5,251,203,15
1202,-20.5,-11.5,254,204,0
1203,-19.5,-11.5,255,202,9
1204,-18.5,-11.5,250,205,6
1205,-17.5,-11.5,225,32,19
1206,-16.5,-11.5,239,27,40
1207,-15.5,-11.5,241,25,40
1208,-14.5,-11.5,238,25,41
1209,-13.5,-11.5,232,31,32
1210,-12.5,-11.5,223,38,18
1211,-11.5,-11.5,255,168,28
1212,-10.5,-11.5,255,201,12
1213,-9.5,-11.5,249,204,0
1214,-8.5,-11.5,253,205,0
1215,-7.5,-11.5,255,202,6
1216,-6.5,-11.5,255,203,8
1217,-5.5,-11.5,253,203,7
1218,-4.5,-11.5,252,204,6
1219,-3.5,-11.5,252,205,5
1220,-2.5,-11.5,249,206,6
1221,-1.5,-11.5,250,205,8
1222,-0.5,-11.5,253,203,11
1223,0.5,-11.5,255,201,15
1224,1.5,-11.5,255,200,14
1225,2.5,-11.5,254,205,7
1226,3.5,-11.5,254,205,7
1227,4.5,-11.5,253,204,6
1228,5.5,-11.5,253,204,6
1229,6.5,-11.5,254,203,6
1230,7.5,-11.5,255,203,6
1231,8.5,-11.5,255,203,6
1232,9.5,-11.5,255,203,6
1233,10.5,-11.5,254,203,5
1234,11.5,-11.5,254,203,4
1235,12.5,-11.5,255,203,4
1236,13.5,-11.5,255,204,5
1237,14.5,-11.5,255,204,5
1238,15.5,-11.5,254,204,6
1239,16.5,-11.5,253,204,9
1240,17.5,-11.5,254,203,10
1241,18.5,-11.5,254,204,4
1242,19.5,-11.5,249,205,6
1243,20.5,-11.5,255,200,2
1244,21.5,-11.5,244,208,6
1245,22.5,-11.5,252,200,9
1246,23.5,-11.5,31,46,71
1247,-23.5,-12.5,34,27,103
1248,-22.5,-12.5,235,215,3
1249,-21.5,-12.5,254,200,20
1250,-20.5,-12.5,246,210,1
1251,-19.5,-12.5,255,197,16
1252,-18.5,-12.5,255,201,2
1253,-17.5,-12.5,226,37,18
1254,-16.5,-12.5,230,20,22
1255,-15.5,-12.5,221,88,31
1256,-14.5,-12.5,254,197,34
1257,-13.5,-12.5,243,209,0
1258,-12.5,-12.5,248,199,23
1259,-11.5,-12.5,255,198,21
1260,-10.5,-12.5,255,200,14
1261,-9.5,-12.5,255,200,14
1262,-8.5,-12.5,255,200,14
1263,-7.5,-12.5,255,200,14
1264,-6.5,-12.5,255,200,14
1265,-5.5,-12.5,255,200,14
1266,-4.5,-12.5,255,200,14
1267,-3.5,-12.5,255,200,14
1268,-2.5,-12.5,255,200,11
1269,-1.5,-12.5,255,200,10
1270,-0.5,-12.5,255,200,10
1271,0.5,-12.5,255,200,10
1272,1.5,-12.5,255,200,10
1273,2.5,-12.5,255,200,10
1274,3.5,-12.5,255,200,10
1275,4.5,-12.5,255,200,10
1276,5.5,-12.5,255,200,10
1277,6.5,-12.5,255,200,10
1278,7.5,-12.5,255,200,10
1279,8.5,-12.5,255,200,10
1280,9.5,-12.5,255,200,10
1281,10.5,-12.5,255,200,12
1282,11.5,-12.5,255,200,14
1283,12.5,-12.5,255,200,14
1284,13.5,-12.5,255,200,14
1285,14.5,-12.5,255,200,14
1286,15.5,-12.5,196,184,80
1287,16.5,-12.5,188,183,84
1288,17.5,-12.5,213,203,54
1289,18.5,-12.5,76,50,26
1290,19.5,-12.5,59,64,3
1291,20.5,-12.5,213,193,25
1292,21.5,-12.5,66,51,14
1293,22.5,-12.5,244,202,23
1294,23.5,-12.5,25,45,84
1295,-23.5,-13.5,153,145,193
1296,-22.5,-13.5,170,149,90
1297,-21.5,-13.5,235,196,8
1298,-20.5,-13.5,250,201,6
1299,-19.5,-13.5,255,199,5
1300,-18.5,-13.5,237,211,4
1301,-17.5,-13.5,253,199,16
1302,-16.5,-13.5,233,209,0
1303,-15.5,-13.5,232,213,8
1304,-14.5,-13.5,250,202,6
1305,-13.5,-13.5,254,197,10
1306,-12.5,-13.5,241,207,15
1307,-11.5,-13.5,247,203,13
1308,-10.5,-13.5,252,201,13
1309,-9.5,-13.5,251,201,12
1310,-8.5,-13.5,252,201,13
1311,-7.5,-13.5,252,201,13
1312,-6.5,-13.5,252,201,13
1313,-5.5,-13.5,252,201,13
1314,-4.5,-13.5,252,201,13
1315,-3.5,-13.5,252,201,13
1316,-2.5,-13.5,252,202,11
1317,-1.5,-13.5,252,202,11
1318,-0.5,-13.5,252,201,11
1319,0.5,-13.5,252,202,11
1320,1.5,-13.5,252,202,11
1321,2.5,-13.5,252,202,11
1322,3.5,-13.5,252,202,11
1323,4.5,-13.5,253,203,12
1324,5.5,-13.5,252,203,12
1325,6.5,-13.5,252,202,11
1326,7.5,-13.5,252,202,11
1327,8.5,-13.5,252,202,11
1328,9.5,-13.5,252,202,11
1329,10.5,-13.5,252,201,11
1330,11.5,-13.5,251,201,13
1331,12.5,-13.5,252,201,13
1332,13.5,-13.5,252,201,13
1333,14.5,-13.5,252,201,13
1334,15.5,-13.5,249,208,3
1335,16.5,-13.5,242,206,22
1336,17.5,-13.5,251,204,3
1337,18.5,-13.5,251,204,6
1338,19.5,-13.5,233,203,32
1339,20.5,-13.5,244,204,17
1340,21.5,-13.5,237,208,22
1341,22.5,-13.5,189,172,82
1342,23.5,-13.5,124,123,167
